Name,Identity,Form,Alt,Alignment,Type,Size,armour_name,stated_ac,armor_bonus,ac,stated_hp,hp,expected_hp,hp_fudge,level,hd,F,A,S,E,R,I,P,H,K,Res,Pop,Powers,Powers_Rank,Powers_Adj,Powers_Adj_Rank,Equipment,Vehicle,Talents,Talents_Adj,Contacts,Contacts_Adj,Weaknesses,Weaknesses_Adj,Powers_Form,Spd,Att,Dam,Climbing,Escaping,martial_arts,mook,attack_parameters,CR,xp,regen,healing_spells,healing_dice,healing_bonus,sc_ability,log,proficiency,initiative_bonus,AB_F,AB_A,AB_S,AB_E,AB_R,AB_I,AB_P
Psylocke,Betsy Braddock,,,,,,,,,,,,,,,,Am,In,Gd,Rm,Gd,Rm,Am,130,90,Ex,,"{'Telepathy': 'Am, Psylocke is able to perform the following power stunts:', 'Psychic Knives': 'Being the summation of her psionic energy, they do Am Energy to a living target and the target is required to make a Psyche FEAT vs. Ex intensity when a hit is scored, vs. In intensity when a stun is scored, and vs. Mn intensity when a kill is scored.', 'Psychic Detection': 'In, this means Psylocke cannot be surprised in addition to the normal use of this power.', 'Mental Probe': ""In, by anticipating what her opponent is going to do Psylocke gets +2cs on her attacks, dodges or evasions. Every round she must make a power FEAT vs. the opponent's Psyche so people with a Psyche higher than Am are immune.""}","{'Telepathy': 'Am;', 'Psychic Knives': 'Ex;In;Am;Mn;', 'Psychic Detection': 'In;', 'Mental Probe': 'In;Am;'}","{'Telepathy': 'Am, Psylocke is able to perform the following power stunts:', 'Edged:Mental': 'Testing One Only', 'Psychic Detection': 'In, this means Psylocke cannot be surprised in addition to the normal use of this power.', 'Mental Probe': ""In, by anticipating what her opponent is going to do Psylocke gets +2cs on her attacks, dodges or evasions. Every round she must make a power FEAT vs. the opponent's Psyche so people with a Psyche higher than Am are immune.""}",{},{},{},"{'Martial Arts A ': 1, 'Martial Arts B': 1, 'Martial Arts C': 1, 'Martial Arts D': 1, 'Martial Arts E': 1, 'Tumbling': 1, 'Acrobatics': 1, 'Stealth': 1, 'Crime': 1, 'Detective/Espionage': 1, 'Weapon Master': 1}","{'Martial Arts A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 1, 'Tumbling': 1, 'Acrobatics': 1, 'Stealth': 1, 'Thief': 1, 'Detective/Espionage': 1, 'Oriental Weapons': 1}","{'X-Men': 1, 'Brian Braddock': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Psylocke,"Elizabeth ""Betsy"" Braddock",,,,,,,,,,,,,,,,Am,In,Rm,In,Gd,Rm,Un,160,140,Ex,,"{'Telekinesis': 'Un, Psylocke is able to perform the following power stunts with her telekinesis', 'Blastwave/Shockwave': 'Un', 'Floating Disk': 'Able to carry up to 8-10 people', 'Leaping': 'In', 'Martial Striking': 'Am', 'Kinetic Control': 'Un Paralysis/Momentum', 'Force Field Generation': 'Un, can perform the following power stunts', 'Force Field with Micro-Environment': 'Am Containment/Entrapment', 'Force Attack': 'In', 'Psychic Weaponry': 'Un, Able to cut through up to Un material', 'Flight': 'Sh-X airspeed', 'Telepathy': 'Mn ability to affect and manipulate the minds of other sentient beings. Psylocke can read minds and communicate mentally with others over long distances. When she telepathically communicates with another person over a distance, that person often perceives her presence as a butterfly-like image bearing large eyes on its wings. She is able to perform the following power stunts:', 'Psychic Knives': 'Being the summation of her psionic energy, they do Am Energy to a living target and the target is required to make a Psyche FEAT vs. Ex intensity when a hit is scored, vs. In intensity when a stun is scored, and vs. Mn intensity when a kill is scored.', 'Psychic Detection': 'In, this means Psylocke cannot be surprised in addition to the normal use of this power.', 'Mental Probe': ""In, by anticipating what her opponent is going to do Psylocke gets +2cs on her attacks, dodges or evasions. Every round she must make a power FEAT vs. the opponent's Psyche so people with a Psyche higher than Am are immune."", 'Astral Projection': 'Mn ability to project her astral form from her body onto astral planes or the physical planes. In the astral plane, she can mentally create psionic objects and manipulate the aspects of her environment. Under the effects of the Crimson Dawn her astral form was normally undetectable.', 'Psionic Shadow': 'Mn ability to mask her presence from others. Her abilities can go undetected and are very difficult to track, even by very powerful telepaths such as Shadow King. She can extend these defenses to others around her as well.', 'Telepathic Illusions': 'Am ability to create illusions to make herself seem to be invisible, look like someone else, or make others experience events that are not truly happening.', 'Mind Control': 'Mn ability to control the minds of others.', 'Mental Paralysis': 'Am ability to induce temporary mental or physical paralysis', 'Mental Amnesia': 'Mn ability to erase any awareness of particular memories or cause total amnesia.', 'Telepathic Tracking': 'Mn ability to track other sentient beings by their unique psionic emanations (thought patterns contained in the psionic portion of the spectrum) especially if they pose a threat to her well-being in her immediate vicinity.', 'Psionic Blasts': 'Mn', 'Psi-Screen': 'CL1000', 'Resist Power Manipulation, Reality Manipulation': 'CL1000', 'Body Resistance': 'Rm', 'Regeneration': 'Ex'}","{'Telekinesis': 'Un;', 'Blastwave/Shockwave': 'Un;', 'Floating Disk': '', 'Leaping': 'In;', 'Martial Striking': 'Am;', 'Kinetic Control': 'Un;', 'Force Field Generation': 'Un;', 'Force Field with Micro-Environment': 'Am;', 'Force Attack': 'In;', 'Psychic Weaponry': 'Un;', 'Flight': 'Sh-X;', 'Telepathy': 'Mn;', 'Psychic Knives': 'Ex;In;Am;Mn;', 'Psychic Detection': 'In;', 'Mental Probe': 'In;Am;', 'Astral Projection': 'In;Mn;Un;', 'Psionic Shadow': 'Mn;', 'Telepathic Illusions': 'Am;', 'Mind Control': 'Mn;', 'Mental Paralysis': 'Am;', 'Mental Amnesia': 'Mn;', 'Telepathic Tracking': 'Mn;', 'Psionic Blasts': 'Mn;', 'Psi-Screen': 'CL1000;', 'Resist Power Manipulation, Reality Manipulation': 'CL1000;', 'Body Resistance': 'Rm;', 'Regeneration': 'Ex;'}","{'Telekinesis': 'Un, Psylocke is able to perform the following power stunts with her telekinesis', 'Force Blast': 'Testing One Only', 'Flight': 'Sh-X airspeed', 'Leaping': 'In', 'Martial Arts Supremacy': 'Testing One Only', 'Paralysis': 'Testing One Only', 'Force Field Generation': 'Un, can perform the following power stunts', 'Force Field': 'Testing One Only', 'Edged:Mental': 'Testing One Only', 'Telepathy': 'Mn ability to affect and manipulate the minds of other sentient beings. Psylocke can read minds and communicate mentally with others over long distances. When she telepathically communicates with another person over a distance, that person often perceives her presence as a butterfly-like image bearing large eyes on its wings. She is able to perform the following power stunts:', 'Psychic Detection': 'In, this means Psylocke cannot be surprised in addition to the normal use of this power.', 'Mental Probe': ""In, by anticipating what her opponent is going to do Psylocke gets +2cs on her attacks, dodges or evasions. Every round she must make a power FEAT vs. the opponent's Psyche so people with a Psyche higher than Am are immune."", 'Astral Projection': 'Mn ability to project her astral form from her body onto astral planes or the physical planes. In the astral plane, she can mentally create psionic objects and manipulate the aspects of her environment. Under the effects of the Crimson Dawn her astral form was normally undetectable.', 'Invisibility': 'Testing One Only', 'Illusion': 'Testing One Only', 'Mind Control': 'Mn ability to control the minds of others.', 'Mental Amnesia': 'Mn ability to erase any awareness of particular memories or cause total amnesia.', 'Tracking': 'Testing One Only', 'Psionic Blasts': 'Mn', 'Psi-Screen': 'CL1000', 'Resist:Power Manipulation': 'Testing Multi', 'Resist:Reality Manipulation': 'Testing Multi', 'Body Resistance': 'Rm', 'Regeneration': 'Ex'}",{},"{'X-Men Uniform': 'Rm material, the Uniforms are constructed out of unstable molecule fabric. It provides her with the following', 'Body Armor': 'Ex protection vs. Physical and Energy', 'Insulated': 'Gd protection vs. Heat and Cold', 'Comlink': '250 mile range and a GPS tracking device built into it', 'Detection Scrambler': 'Am protection vs. Electronic Mutant Detection'}",{},"{'All Martial Arts': 1, 'Acrobatics': 1, 'Tumbling': 1, 'Weapon Master': 1, 'Weapon Specialist': 1, 'Linguist': 1, 'Detective/Espionage': 1, 'Crime': 1, 'Martial Arts C': 1, 'Stealth': 1, 'Performer': 1}","{'All Martial Arts': 1, 'Acrobatics': 1, 'Tumbling': 1, 'Oriental Weapons': 1, 'Weapon Specialist: (Psychic Weapons)': 1, 'Multi-Lingual': 1, 'Espionage/Detective': 1, 'Crime': 1, 'Escape Artist': 1, 'Stealth': 1, 'Performer: (Modeling': 1, 'Singer)': 1}","{'X-Men': 1, 'Captain Britain': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Psylocke,Betsy Braddock,,,,,,,,,,,,,,,,Am,In,Gd,Rm,Gd,Rm,Am,130,90,Ex,,"{'Telekinesis': 'Am, Psylocke lost her telepathic power imprisoning the Shadow King in the astral plane; however, she gained telekinetic abilities. She can perform the following abilities:', 'Reflection/Deflection': 'Am', 'Martial Striking': 'Am', 'Force Attack': 'In', 'Psychic Weaponry': 'Am, able to cut through up to In material'}","{'Telekinesis': 'Am;', 'Reflection/Deflection': 'Am;', 'Martial Striking': 'Am;', 'Force Attack': 'In;', 'Psychic Weaponry': 'In;Am;'}","{'Telekinesis': 'Am, Psylocke lost her telepathic power imprisoning the Shadow King in the astral plane; however, she gained telekinetic abilities. She can perform the following abilities:', 'Reflection': 'Testing One Only', 'Martial Arts Supremacy': 'Testing One Only', 'Force Blast': 'Testing One Only', 'Psychic Weaponry': 'Am, able to cut through up to In material'}",{},{},{},"{'Martial Arts A ': 1, 'Martial Arts B': 1, 'Martial Arts C': 1, 'Martial Arts D': 1, 'Martial Arts E': 1, 'Tumbling': 1, 'Acrobatics': 1, 'Stealth': 1, 'Crime': 1, 'Detective/Espionage': 1, 'Weapon Master': 1}","{'Martial Arts A': 1, 'B': 1, 'C': 1, 'D': 1, 'E': 1, 'Tumbling': 1, 'Acrobatics Stealth': 1, 'Thieving': 1, 'Espionage': 1, 'Oriental Weapons': 1}","{'X-Men': 1, 'Brian Braddock': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Puck,Eugene Milton Judd,,,,,,,,,,,,,,,,In,Rm,Gd,Ex,Ty,Ex,Ex,100,46,Rm,,"{'Spinning Attack': 'Puck can charge an opponent with Am ability inflicting Ex damage. He also counts as dodging while making this attack.', 'Immortal': 'Does not age'}","{'Spinning Attack': 'Ex;Am;', 'Immortal': ''}","{'Charging': 'Testing Multi', 'Dodging': 'Testing Multi', 'Immortal': 'Does not age'}",{},{},{},"{'Tumbling': 1, 'Acrobatics': 1, 'Mystic Backgroud': 1, 'Linguist': 1, 'Martial Arts B': 1, 'Martial Arts C': 1, 'Martial Arts D': 1, 'Detective/Espionage': 1}","{'Tumbling': 1, 'Acrobatics': 1, 'Occult Lore': 1, 'Languages': 1, 'Martial Arts B': 1, 'C': 1, 'D': 1, 'Detective/Espionage': 1}","{'Alpha Flight': 1, 'Department H': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Puff Adder,,,,,,,,,,,,,,,,,Gd,Ty,Rm,Rm,Ty,Pr,Ty,76,16,Ty,,"{'Inflation': 'Puff Adder can inflat himself upto 10 feet high, giving him Pr growth and +1CS to be hit. Body Armor', 'Acid Spray': 'Puff Adder is able to spray acid from his mouth of Rm strength with a 1ft range.'}","{'Inflation': 'Pr;', 'Acid Spray': 'Rm;'}","{'Growth': 'Testing Multi', 'Body Armour': 'Testing Multi', 'Energy Blast:Acid': 'Testing One Only'}",{},{},{},{'None': 1},{'None': 1},{},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Pulse,Augustus,,,,,,,,,,,,,,,,Ex,Ex,Gd,Rm,Gd,Ex,In,80,70,Gd,,"{'Disruptor Pulse': 'Pulse produces a disruptor pulse from his eyes with Am ability. This allows him to perform the following power stunts:', 'Scramble Electronic Systems': 'In', 'Disable Mutant Powers': 'Am', 'Hypnotic Masking': 'Acts as an Am Psi-Screen'}","{'Disruptor Pulse': 'Am;', 'Scramble Electronic Systems': 'In;', 'Disable Mutant Powers': 'Am;', 'Hypnotic Masking': 'Am;'}","{'Disruption': 'Testing One Only', 'Nullifying Power': 'Testing One Only', 'Resist:Menal': 'Testing One Only'}",{},{},{},{'Crime': 1},"{'Crime': 1, 'Thief': 1}",{'Mystique': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
The Puma,Thomas Fireheart,,,,,,,,,,,,,,,,Rm,Am,Rm,In,Ex,Mn,Am,150/36,115/60,In,,"{'Puma Form': 'Thomas Fireheart is able to transform into the Puma. The transformation takes 2 turns, he gains the following power stunts:', 'Alter Ego': 'Stats change as above', 'Invulnerablilty': 'Gd resistance vs. Physical', 'Claws': 'Rm Edge', 'Hyper-Sensitive Senses': 'Mn sight, hearing and smell', 'Tracking': 'Mn'}","{'Puma Form': '', 'Alter Ego': '', 'Invulnerablilty': 'Gd;', 'Claws': 'Rm;', 'Hyper-Sensitive Senses': 'Mn;', 'Tracking': 'Mn;'}","{'Body Transformation-Self': 'Testing One Only', 'Alter Ego': 'Stats change as above', 'Resist:Physical': 'Testing One Only', 'Claws': 'Rm Edge', 'Enhanced Senses': 'Testing One Only', 'Tracking': 'Mn'}",{},{},{},{'Business/Finance': 1},{'Talents:Business/Finance': 1},{'None': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
The Punisher,Frank Castle,,,,,,,,,,,,,,,,Am,Ex,Gd,Ex,Gd,Ex,Ty,100,36,Gd,,{},{},{},{},"{'Kevlar Armor': 'Gd protection vs. Physical, Shooting and Edge', 'Colt .45 pistol (x2)': 'Gd Shooting, 3 areas', 'M16 Assault Rifle': 'Gd Shooting, 7 areas', 'Sterling Mk 6 Submachine Gun': 'Gd Shooting or Rm for for burst, 5 areas', '.357 Revolver': 'Ex Shooting, 2 areas', 'Combat Knife': 'Rm material, Ex Edge', 'Grenades Launcher': 'Fires up to 5 areas away, has the following types of grenades:', 'Concussion': 'In Slugfest damage', 'Explosive': 'Rm Edge to everyone in Target zone', 'Tear Gas': 'In potency; victims must make an End FEAT or be Stunned. Victim’s Intuition decreases -3CS for 1-10 turns.', 'Other various equipment': 'up to Mn damage'}",{},"{'Martial Arts A ': 1, 'Martial Arts B': 1, 'Martial Arts C': 1, 'Martial Arts E': 1, 'Weapon Specialist': 1, 'Marksman': 1, 'Weapon Master': 1, 'Thrown Weapons': 1, 'Sharp Weapons': 1, 'Acrobatics': 1, 'Tumbling': 1, 'Military': 1, 'Detective/Espionage': 1, 'Interrogation': 1, 'Demolition': 1, 'Crime': 1, 'Resist Domination': 1, 'Stealth': 1, 'Blending': 1, 'Pilot': 1, 'Survival': 1, 'Mechanics': 1}","{'Martial Arts A': 1, 'B': 1, 'C': 1, 'E': 1, 'Weapons Specialist: (Guns)': 1, 'Marksmanship': 1, 'Weapons Master': 1, 'Thrown Objects': 1, 'Sharp Weapons': 1, 'Wrestling': 1, 'Acrobatics': 1, 'Tumbling': 1, 'Military': 1, 'Detective/Espionage': 1, 'Intimidation/Interrogation': 1, 'Demolitions': 1, 'Crime': 1, 'Resist Domination': 1, 'Stealth': 1, 'Blending': 1, 'Pilot': 1, 'Survival': 1, 'Armor (Weapons Repair and Modification)': 1, 'Mechanic': 1}",{'None': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Punisher Robots,,,,,,,,,,,,,,,,,Mn,Mn,ShX,ShX,Fe,Fe,Fe,450,6,N/A,,"{'Robot Body': ""The Punisher Robots' very bodies give them the following abilities:"", 'Invulnerable to Toxins and Disease': 'CL1000', 'Self-Sustenance': ""Doesn't need to eat, sleep or breathe, can survive in the vacuum of space"", 'Body Armor': 'Mn protection vs. Physical and Energy', 'Plasma Generation': 'Mn Energy'}","{'Robot Body': '', 'Invulnerable to Toxins and Disease': 'CL1000;', 'Self-Sustenance': '', 'Body Armor': 'Mn;', 'Plasma Generation': 'Mn;'}","{'Robot Body': ""The Punisher Robots' very bodies give them the following abilities:"", 'Resist:Disease': 'Testing Multi', 'Resist:Poison': 'Testing Multi', 'Self-Sustenance': ""Doesn't need to eat, sleep or breathe, can survive in the vacuum of space"", 'Body Armor': 'Mn protection vs. Physical and Energy', 'Plasma Generation': 'Mn Energy'}",{},{},{},{'None': 1},{'None': 1},{'None': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Puppet Master,Philip Masters,,,,,,,,,,,,,,,,Fe,Ty,Pr,Pr,Ex,Ex,Mn,16,115,Gd,,"{'Sympathetic Magic': ""Puppet Master has Mn Mind Control. He must carve and color an effigy of his intended victim with his Radioactive Clay. Once the effigy resembles an individual, he can control the real person's body and mind. By physically moving the effigy, the individual will perform the action. He can control only a single individual at one time. Masters cannot hurt the victim by mutilating the effigy, for it needs to be flawless for him to control the victim."", 'Mind Transferal': ""Mn ability to transfer several people's minds into duplicate bodies he creates""}","{'Sympathetic Magic': 'Mn;', 'Mind Transferal': 'Mn;'}","{'Mind Control': 'Testing One Only', 'Mind Transferal': ""Mn ability to transfer several people's minds into duplicate bodies he creates""}",{},{},{},{'Art': 1},{'Artist: (Sculptures)': 1},{'Alicia Masters': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Typical Purifier Agent,,,,,,,,,,,,,,,,,Ex,Gd,Gd,Gd,Ty,Ty,Ty,50,18,Ty,,{},{},{},{},"{'Body Armor': 'Ty protection vs. Physical and Energy', 'Energy Blaster': 'Rm Energy, 7 areas'}",{},"{'Guns': 1, 'Religion': 1}","{'Guns': 1, 'Religion': 1}",{'Purifiers': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Purple Man,Zebediah Killgrave,,,,,,,,,,,,,,,,Pr,Ty,Ty,Ty,Ty,Ex,Mn,22,101,Am,,{},{},{},{},{},{},{'Detective/Espionage': 1},{'Detective/Espionage': 1},{'None': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Pyro,St. John Allerdyce,,,,,,,,,,,,,,,,Gd,Gd,Ty,Rm,Gd,Ty,Gd,56,26,Pr,,"{'Fire Control': 'In ability to control (but not create) flame. He can perform the following stunts', 'Create Flame Creatures': 'In F,A,S,E scores. Such creatures inflict Mn damage to flammible targets, and Gd damage to non-flamible targets.', 'Dampen Flames': 'In ability.', 'Fire Resistance': 'CL1000 resistance to fire under his control, but no resistance to flames not under his control or controled by others.'}","{'Fire Control': 'In;', 'Create Flame Creatures': 'Gd;In;Mn;', 'Dampen Flames': 'In;', 'Fire Resistance': 'CL1000;'}","{'Fire Control': 'In ability to control (but not create) flame. He can perform the following stunts', 'Energy:Flame Creatures': 'Testing One Only', 'Resist:Fire': 'Testing One Only'}",{},"{'Costume': 'Am protection vs. Flame and Heat', 'Flamethrower': 'Rm Fire, 2 areas'}",{},"{'Journalism': 1, 'Writer': 1}","{'Journalism': 1, 'Writing': 1}",{'Marauders; (Formermly) Brotherhood of Evil Mutants': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Pyro,Simon Lasker,,,,,,,,,,,,,,,,Gd,Gd,Ty,Ex,Gd,Ty,Gd,46,26,Ty,,"{'Flame Generation': 'In Fire, 3 areas', 'Fire Control': 'In ability to control (but not create) flame. He can perform the following stunts', 'Create Flame Creatures': 'In F,A,S,E scores. Such creatures inflict Mn damage to flammable targets, and Gd damage to non-flammable targets.', 'Dampen Flames': 'In ability.', 'Fire Resistance': 'CL1000 resistance to fire under his control, but no resistance to flames not under his control or controled by others.'}","{'Flame Generation': 'In;', 'Fire Control': 'In;', 'Create Flame Creatures': 'Gd;In;Mn;', 'Dampen Flames': 'In;', 'Fire Resistance': 'CL1000;'}","{'Flame Generation': 'In Fire, 3 areas', 'Fire Control': 'In ability to control (but not create) flame. He can perform the following stunts', 'Create Flame Creatures': 'In F,A,S,E scores. Such creatures inflict Mn damage to flammable targets, and Gd damage to non-flammable targets.', 'Resist:Fire': 'Testing One Only'}",{},{},{},{'None': 1},{'None': 1},{'X-Men; (Formerly) Brotherhood of Evil Mutants': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Quantum,,,,,,,,,,,,,,,,,Ex,Ex,Un,Mn,Ty,Ty,Ty,215,18,Fe,,"{'Atomic Attraction': ""Quantum's power derives from the attraction between particles in an atom's nucleus. This gives him the following abilities"", 'Body Resistance': 'Am protection vs. Physical and Energy', 'Flight': 'Sh-Y airspeed in atmosphere, CL3000 in the vacuum of space.', 'Flame Sheath': 'When flying, Quantum generates an aura of In Intensity flames around his body.', 'Hyper-Teleportation': 'Quantum has the power to occupy multiple positions in space at nearly the same In effect, he can teleport with great rapidity back and forth among many different locations, remaining in one spot for a mere fraction of a second. Due to the phenomenon of persistence of vision, a human observer sees Quantum appear in many different positions simultaneously, and may mistakenly assumed that Quantum has created duplicates of himself. Though he possesses this ability at Mn rank, Quantum can teleport himself only a maximum of six inches away from his previous position.', 'Invulnerability': 'CL1000 resistance to Heat and Gravitational forces.', 'Life Support': 'Quantum can survive in hostile environments indefinitely without requiring food, water, or air'}","{'Atomic Attraction': '', 'Body Resistance': 'Am;', 'Flight': 'Sh-Y;CL3000;', 'Flame Sheath': 'In;', 'Hyper-Teleportation': 'In;Mn;', 'Invulnerability': 'CL1000;', 'Life Support': ''}","{'Energy Control': 'Testing One Only', 'Body Resistance': 'Am protection vs. Physical and Energy', 'Flight': 'Sh-Y airspeed in atmosphere, CL3000 in the vacuum of space.', 'Flame Sheath': 'When flying, Quantum generates an aura of In Intensity flames around his body.', 'Teleportation': 'Testing One Only', 'Invulnerability': 'CL1000 resistance to Heat and Gravitational forces.', 'Life Support': 'Quantum can survive in hostile environments indefinitely without requiring food, water, or air'}",{},{},{},{'None': 1},{'None': 1},"{'Aquarian': 1, 'Graviton': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Quasar,Richard Rider,,,,,,,,,,,,,,,,Rm,Ex,Am,Rm,Ty,Ty,Ty,130,18,Pr,,{},{},{},{},"{'Quantum Bands': 'Un material, Quasar wields a pair of Quantum Bands that tap energy with CL1000 ability. Quasar can use them to wield the following powers', 'Electromagnetic Energy Generation and Manipulation': 'Un', 'Energy Identification/Tracking': 'Mn identification and CL1000 tracking of energy patterns', 'Energy Siphon': 'Mn absorbtion of energy', 'Flight': 'Sh-Y maximum, Rm in atmosphere', 'Force Blast': 'Mn Energy or Force', 'Force Field': 'Mn Energy Sheath, 1 area', 'Life Support': 'Mn', 'Light Burst': 'Mn Blinding', 'Quantum Constructs': 'Mn solid light constructs', 'Quantum Jump': 'CL1000 ability to open gates to the Quantum Zone. Acts as CL5000 teleportation.'}",{},"{'Martial Arts B': 1, 'Leadership': 1, 'Military': 1, 'Strategy': 1}","{'Martial Arts B': 1, 'Leadership': 1, 'Military': 1, 'Strategist': 1}",{'None': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Quasar,Avril Kincaid,,,,,,,,,,,,,,,,Ex,Ex,Gd,Gd,Gd,Ex,Am,60,80,Gd,,{},{},{},{},"{'Quantum Bands': 'Un material, Quasar wields a pair of Quantum Bands that tap energy with CL1000 ability. Quasar can use them to wield the following powers', 'Electromagnetic Energy Generation and Manipulation': 'Un', 'Energy Identification/Tracking': 'Mn identification and CL1000 tracking of energy patterns', 'Energy Siphon': 'Mn absorbtion of energy', 'Flight': 'Sh-Y maximum, Rm in atmosphere', 'Force Blast': 'Mn Energy or Force', 'Force Field': 'Mn Energy Sheath, 1 area', 'Life Support': 'Mn', 'Light Burst': 'Mn Blinding', 'Quantum Constructs': 'Mn solid light constructs', 'Quantum Jump': 'CL1000 ability to open gates to the Quantum Zone. Acts as CL5000 teleportation.', 'Alter-Ego': 'By striking the Quantum Bands against each other, Avril could exchange places with <a href=""/comics/benriely/quasar.html"">Wendell Vaughn</a>.', 'Telepathy': 'Can only talk to Wendell Vaughn through the Quantum Bands.'}",{},"{'Detective/Espionage': 1, 'Law Enforcement': 1, 'Martial Arts A ': 1, 'Martial Arts B': 1, 'Guns': 1, 'Weapon Specialist': 1}","{'Detective/Espionage': 1, 'Law Enforcement': 1, 'Martial Arts A': 1, 'B': 1, 'Guns': 1, 'Weapons Specialist: (Quantum Bands)': 1}","{'S.H.I.E.L.D.': 1, 'Wendell Vaughn': 1, 'Guardians of the Galaxy': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Qubit,,,,,,,,,,,,,,,,,Sh0,In,Sh0,Mn,Mn,In,Mn,115,190,N/A,,"{'Manufactured Harmonite Physiology': 'Qubit is a synthorganic being from a species called the Manufactured Harmonites. His very body gives him the following:', 'Free Spirit': 'Am', 'Nova Force': 'Qubit has the following abilities as a Nova Centurion:', 'Flight': 'He can reach up to Sh-X speeds. The drawback is that he needs an Agility FEAT for any turns attempted at speeds over Rm airspeed.', 'Body Armor': 'Rm protection vs. Physical and Energy'}","{'Manufactured Harmonite Physiology': '', 'Free Spirit': 'Am;', 'Nova Force': '', 'Flight': 'Rm;Sh-X;', 'Body Armor': 'Rm;'}","{'Android': 'Testing One Only', 'Astral Projection': 'Testing One Only', 'Nova Force': 'Qubit has the following abilities as a Nova Centurion:', 'Flight': 'He can reach up to Sh-X speeds. The drawback is that he needs an Agility FEAT for any turns attempted at speeds over Rm airspeed.', 'Body Armor': 'Rm protection vs. Physical and Energy'}",{},"{'Helmet': 'Qubit resides within a Nova Centurion helmet. The Nova Corps Helmet provides him with the following abilities:', 'Radio Reception': 'Ex', 'Infra-Red Sensors': 'Gd', 'Life Support': 'The Nova armor provides an unlimited recyclable air supply however the wearer still requires food and sleep. It also provides Ex protection vs. Extreme temperatures.'}",{},{'None': 1},{'Talents:': 1},{'Nova Corps': 1},{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
Queen,"Adriana ""Ana"" Soria",,,,,,,,,,,,,,,,Ex,Gd,Rm,In,Rm,In,Am,100,120,Gd,,"{'Mind Control': 'Mn ability to control the motor functions of all insects and humans possessing the ""insect gene.""', 'Telekinesis': 'In', 'Sonic Scream': 'Mn damage to non-living targets, Am damage to a living target, In damage to an entire area.'}","{'Mind Control': 'Mn;', 'Telekinesis': 'In;', 'Sonic Scream': 'In;Am;Mn;'}","{'Mind Control': 'Mn ability to control the motor functions of all insects and humans possessing the ""insect gene.""', 'Telekinesis': 'In', 'Sonic Scream': 'Mn damage to non-living targets, Am damage to a living target, In damage to an entire area.'}",{},{},{},"{'Military': 1, 'Guns': 1, 'Martial Arts A ': 1, 'Martial Arts C': 1}","{'Military': 1, 'Guns': 1, 'Martial Arts A': 1, 'C': 1}","{'The Jackal': 1, 'Tarantula': 1, 'Spider-King': 1}",{},[''],{},{},0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
